shop [0, Zealusion's Melee Store]
item [20135, inf] //torva full helm
item [20139, inf] //torva platebody
item [20143, inf] //torva platelegs
item [20159, inf] //virtus mask
item [20163, inf] //virtus robe top
item [20167, inf] //virtus robe legs
item [20147, inf] //pernix cowl
item [20151, inf] //pernix body
item [20155, inf] //pernix chaps
item [21777, inf] //armadyl battlestaff
item [21773, inf] //armadyl rune
item [13899, inf] //vesta's longsword
item [13905, inf] //vesta's spear
item [13887, inf] //vesta's chainbody
item [13893, inf] //vesta's plateskirt
item [13896, inf] //statius's full helm
item [13884, inf] //statius's platebody
item [13890, inf] //statius's platelegs
item [13902, inf] //statius's warhammer
item [13864, inf] //Zuriel's hood
item [13858, inf] //zuriel's robe top
item [13861, inf] //zuriel's robe bottom
item [13867, inf] //zuriel's staff
item [13876, inf] //morrigan's coif
item [13870, inf] //morrigan's leather body
item [13873, inf] //morrigan's leather chaps
item [13879, inf] //morrigan's javelin
item [13883, inf] //morrigan's throwing axe
item [15220, inf] //berserker ring (i)
item [15018, inf] //seers' ring (i)
item [15020, inf] //warrior ring (i)
item [15019, inf] //archers' ring (i)
item [15017, inf] //onyx ring (i)
item [15013, inf] //diamond ring (i)

shop [5, Zealusion's Admin Store]
item [15924, inf] //primal full helm
item [16023, inf] //primal platebody
item [15935, inf] //primal platelegs
item [16137, inf] //primal 2h
item [16045, inf] //primal rapier
item [16184, inf] //primal maul
item [15818, inf] //primal kiteshield
item [15946, inf] //primal gauntlets
item [16272, inf] //primal boots
item [16056, inf] //sagittarian coif
item [16078, inf] //sagittarian body
item [16067, inf] //sagittarian chaps
item [16115, inf] //sagittarian vambraces
item [16012, inf] //sagittarian boots
item [15913, inf] //sagittarian longbow
item [15785, inf] //sagittarian shortbow
item [15957, inf] //sagittarian arrows
item [15836, inf] //hexhunter bow
item [15902, inf] //celestial hood
item [15847, inf] //celestial robe top
item [15807, inf] //celestial robe bottom
item [16195, inf] //celestial gloves
item [15796, inf] //celestial shoes
item [16173, inf] //celestial catalytic staff
item [11946, Owner Brid] //Skeletal armour set

shop [6, Zealusion's Voting Store]
item [20957, inf] //oddball
item [20958, inf] //poison purge
item [20959, inf] //jack of trades
item [20961, inf] //knock-out
item [20962, inf] //runic accuracy
item [20963, inf] //friend in need
item [20964, inf] //surefooted
item [20965, inf] //reverence
item [20966, inf] //call of the sea
item [20967, inf] //sharpshooter

shop [7, PK Package Store]
item [11814, Pure set] //Bronze armour set (lg) 
item [11864, Welfare range-melee set] //Green dragonhide set 
item [11846, Hybrid set] //Barrows - ahrim's set   
item [11816, Pure melee set] //Bronze armour set (sk)  
item [11854, Melee set] //Item Barrows - Torag's set
item [11848, Dharok pking set] //Item Barrows - Dharok's set
item [11852, Range tank set] //Barrows - karil's set
item [11872, Welfare brid] //Mystic robes set
item [11916, Void Hybrid] //Blue d'hide trimmed set
item [11838, Zerk set] //Rune armour set (lg)

shop [8, Donator Shop]
item [10551, inf]
item [22302, inf]
item [18349, inf]
item [18351, inf]
item [18353, inf]
item [18355, inf]

shop [9, Chef's Glove Emporium]
item [7454, inf]
item [7455, inf]
item [7456, inf]
item [7457, inf]
item [7458, inf]
item [7459, inf]
item [7460, inf]
item [7461, inf]
item [7462, inf]

shop [10, Skillcape Shop]
item [9749, inf]
item [9748, inf]
item [9752, inf]
item [9751, inf]
item [9755, inf]
item [9754, inf]
item [9758, inf]
item [9757, inf]
item [9764, inf]
item [9763, inf]
item [9761, inf]
item [9760, inf]
item [9767, inf]
item [9766, inf]
item [9794, inf]
item [9793, inf]
item [9797, inf]
item [9796, inf]
item [9770, inf]
item [9769, inf]
item [9788, inf]
item [9787, inf]
item [9806, inf]
item [9805, inf]
item [9809, inf]
item [9808, inf]
item [9800, inf]
item [9799, inf]
item [9803, inf]
item [9802, inf]
item [9812, inf]
item [9811, inf]
item [9785, inf]
item [9784, inf]
item [9779, inf]
item [9778, inf]
item [9950, inf]
item [9949, inf]
item [9776, inf]
item [9775, inf]
item [9773, inf]
item [9772, inf]
item [9782, inf]
item [9781, inf]
item [12171, inf]
item [12170, inf]
