Item 0:	Dwarf remains
Item 164:	null
Item 165:	Super defence (2)
Item 166:	null
Item 167:	Super defence (1)
Item 168:	null
Item 169:	Ranging potion (3)
Item 170:	null
Item 171:	Ranging potion (2)
Item 172:	null
Item 173:	Ranging potion (1)
Item 174:	null
Item 175:	Antipoison (3)
Item 176:	null
Item 177:	Antipoison (2)
Item 178:	null
Item 179:	Antipoison (1)
Item 180:	null
Item 181:	Super antipoison (3)
Item 182:	null
Item 183:	Super antipoison (2)
Item 184:	null
Item 185:	Super antipoison (1)
Item 186:	null
Item 187:	Weapon poison
Item 188:	null
Item 189:	Zamorak brew (3)
Item 190:	null
Item 191:	Zamorak brew (2)
Item 192:	null
Item 193:	Zamorak brew (1)
Item 194:	null
Item 195:	Potion
Item 196:	null
Item 197:	Poison chalice
Item 198:	null
Item 199:	Grimy guam
Item 200:	null
Item 201:	Grimy marrentill
Item 202:	null
Item 203:	Grimy tarromin
Item 204:	null
Item 205:	Grimy harralander
Item 206:	null
Item 207:	Grimy ranarr
Item 208:	null
Item 209:	Grimy irit
Item 210:	null
Item 211:	Grimy avantoe
Item 212:	null
Item 213:	Grimy kwuarm
Item 214:	null
Item 215:	Grimy cadantine
Item 216:	null
Item 217:	Grimy dwarf weed
Item 218:	null
Item 219:	Grimy torstol
Item 220:	null
Item 221:	Eye of newt
Item 222:	null
Item 223:	Red spiders' eggs
Item 224:	null
Item 225:	Limpwurt root
Item 226:	null
Item 227:	Vial of water
Item 228:	null
Item 229:	Vial
Item 230:	null
Item 231:	Snape grass
Item 232:	null
Item 233:	Pestle and mortar
Item 234:	null
Item 235:	Unicorn horn dust
Item 236:	null
Item 237:	Unicorn horn
Item 238:	null
Item 239:	White berries
Item 240:	null
Item 241:	Dragon scale dust
Item 242:	null
Item 243:	Blue dragon scale
Item 244:	null
Item 245:	Wine of zamorak
Item 246:	null
Item 247:	Jangerberries
Item 248:	null
Item 249:	Clean guam
Item 250:	null
Item 251:	Clean marrentill
Item 252:	null
Item 253:	Clean tarromin
Item 254:	null
Item 255:	Clean harralander
Item 256:	null
Item 257:	Clean ranarr
Item 258:	null
Item 259:	Clean irit
Item 260:	null
Item 261:	Clean avantoe
Item 262:	null
Item 263:	Clean kwuarm
Item 264:	null
Item 265:	Clean cadantine
Item 266:	null
Item 267:	Clean dwarf weed
Item 268:	null
Item 269:	Clean torstol
Item 270:	null
Item 271:	Pressure gauge
Item 272:	Fish food
Item 273:	Poison
Item 274:	Poisoned fish food
Item 275:	Grimy key
Item 276:	Rubber tube
Item 277:	Oil can
Item 278:	Cattleprod
Item 279:	Sheep feed
Item 280:	Sheep bones (1)
Item 281:	Sheep bones (2)
Item 282:	Sheep bones (3)
Item 283:	Sheep bones (4)
Item 284:	Plague jacket
Item 285:	Plague trousers
Item 286:	Orange goblin mail
Item 287:	Blue goblin mail
Item 288:	Goblin mail
Item 289:	null
Item 290:	Research package
Item 291:	Research notes
Item 292:	Book on baxtorian
Item 293:	A key
Item 294:	Glarial's pebble
Item 295:	Glarial's amulet
Item 296:	Glarial's urn
Item 297:	Glarial's urn
Item 298:	A key
Item 299:	Mithril seeds
Item 300:	Rat's tail
Item 301:	Lobster pot
Item 302:	null
Item 303:	Small fishing net
Item 304:	null
Item 305:	Big fishing net
Item 306:	null
Item 307:	Fishing rod
Item 308:	null
Item 309:	Fly fishing rod
Item 310:	null
Item 311:	Harpoon
Item 312:	null
Item 313:	Fishing bait
Item 314:	Feather
Item 315:	Shrimps
Item 316:	null
Item 317:	Raw shrimps
Item 318:	null
Item 319:	Anchovies
Item 320:	null
Item 321:	Raw anchovies
Item 322:	null
Item 323:	Burnt fish
Item 324:	null
Item 325:	Sardine
Item 326:	null
Item 327:	Raw sardine
Item 328:	null
Item 329:	Salmon
Item 330:	null
Item 331:	Raw salmon
Item 332:	null
Item 333:	Trout
Item 334:	null
Item 335:	Raw trout
Item 336:	null
Item 337:	Giant carp
Item 338:	Raw giant carp
Item 339:	Cod
Item 340:	null
Item 341:	Raw cod
Item 342:	null
Item 343:	Burnt fish
Item 344:	null
Item 345:	Raw herring
Item 346:	null
Item 347:	Herring
Item 348:	null
Item 349:	Raw pike
Item 350:	null
Item 351:	Pike
Item 352:	null
Item 353:	Raw mackerel
Item 354:	null
Item 355:	Mackerel
Item 356:	null
Item 357:	Burnt fish
Item 358:	null
Item 359:	Raw tuna
Item 360:	null
Item 361:	Tuna
Item 362:	null
Item 363:	Raw bass
Item 364:	null
Item 365:	Bass
Item 366:	null
Item 367:	Burnt fish
Item 368:	null
Item 369:	Burnt fish
Item 370:	null
Item 371:	Raw swordfish
Item 372:	null
Item 373:	Swordfish
Item 374:	null
Item 375:	Burnt swordfish
Item 376:	null
Item 377:	Raw lobster
Item 378:	null
Item 379:	Lobster
Item 380:	null
Item 381:	Burnt lobster
Item 382:	null
Item 383:	Raw shark
Item 384:	null
Item 385:	Shark
Item 386:	null
Item 387:	Burnt shark
Item 388:	null
Item 389:	Raw manta ray
Item 390:	null
Item 391:	Manta ray
Item 392:	null
Item 393:	Burnt manta ray
Item 394:	null
Item 395:	Raw sea turtle
Item 396:	null
Item 397:	Sea turtle
Item 398:	null
Item 399:	Burnt sea turtle
Item 400:	null
Item 401:	Seaweed
Item 402:	null
Item 403:	Edible seaweed
Item 404:	null
Item 405:	Casket
Item 406:	null
Item 407:	Oyster
Item 408:	null
Item 409:	Empty oyster
Item 410:	null
Item 411:	Oyster pearl
Item 412:	null
Item 413:	Oyster pearls
Item 414:	null
Item 415:	Ethenea
Item 416:	Liquid honey
Item 417:	Sulphuric broline
Item 418:	Plague sample
Item 419:	Touch paper
Item 420:	Distillator
Item 421:	Lathas' amulet
Item 422:	Bird feed
Item 423:	Key
Item 424:	Pigeon cage
Item 425:	Pigeon cage
Item 426:	Priest gown
Item 427:	null
Item 428:	Priest gown
Item 429:	null
Item 430:	Doctors' gown
Item 431:	Karamjan rum
Item 432:	Chest key
Item 433:	Pirate message
Item 434:	Clay
Item 435:	null
Item 436:	Copper ore
Item 437:	null
Item 438:	Tin ore
Item 439:	null
Item 440:	Iron ore
Item 441:	null
Item 442:	Silver ore
Item 443:	null
Item 444:	Gold ore
Item 445:	null
Item 446:	'perfect' gold ore
Item 447:	Mithril ore
Item 448:	null
Item 449:	Adamantite ore
Item 450:	null
Item 451:	Runite ore
Item 452:	null
Item 453:	Coal
Item 454:	null
Item 455:	Barcrawl card
Item 456:	Scorpion cage
Item 457:	Scorpion cage
Item 458:	Scorpion cage
Item 459:	Scorpion cage
Item 460:	Scorpion cage
Item 461:	Scorpion cage
Item 462:	Scorpion cage
Item 463:	Scorpion cage
Item 464:	Strange fruit
Item 465:	null
Item 466:	Pickaxe handle
Item 467:	null
Item 468:	Broken pickaxe
Item 469:	null
Item 470:	Broken pickaxe
Item 471:	null
Item 472:	Broken pickaxe
Item 473:	null
Item 474:	Broken pickaxe
Item 475:	null
Item 476:	Broken pickaxe
Item 477:	null
Item 478:	Broken pickaxe
Item 479:	null
Item 480:	Pickaxe head
Item 481:	null
Item 482:	Pickaxe head
Item 483:	null
Item 484:	Pickaxe head
Item 485:	null
Item 486:	Pickaxe head
Item 487:	null
Item 488:	Pickaxe head
Item 489:	null
Item 490:	Pickaxe head
Item 491:	null
Item 492:	Hatchet handle
Item 493:	null
Item 494:	Broken hatchet
Item 495:	null
Item 496:	Broken hatchet
Item 497:	null
Item 498:	Broken hatchet
Item 499:	null
Item 500:	Broken hatchet
Item 501:	null
Item 502:	Broken hatchet
Item 503:	null
Item 504:	Broken hatchet
Item 505:	null
Item 506:	Broken hatchet
Item 507:	null
Item 508:	Hatchet head
Item 509:	null
Item 510:	Hatchet head
Item 511:	null
Item 512:	Hatchet head
Item 513:	null
Item 514:	Hatchet head
Item 515:	null
Item 516:	Hatchet head
Item 517:	null
Item 518:	Hatchet head
Item 519:	null
Item 520:	Hatchet head
Item 521:	null
Item 522:	Enchanted beef
Item 523:	Enchanted rat meat
Item 524:	Enchanted bear meat
Item 525:	Enchanted chicken
Item 526:	Bones
Item 527:	null
Item 528:	Burnt bones
Item 529:	null
Item 530:	Bat bones
Item 531:	null
Item 532:	Big bones
Item 533:	null
Item 534:	Babydragon bones
Item 535:	null
Item 536:	Dragon bones
Item 537:	null
Item 538:	Druid's robe
Item 539:	null
Item 540:	Druid's robe
Item 541:	null
Item 542:	Monk's robe
Item 543:	null
Item 544:	Monk's robe
Item 545:	null
Item 546:	Shade robe
Item 547:	Picture
Item 548:	Shade robe
Item 549:	Picture
Item 550:	Newcomer map
Item 551:	null
Item 552:	Ghostspeak amulet
Item 553:	Muddy skull
Item 554:	Fire rune
Item 555:	Water rune
Item 556:	Air rune
Item 557:	Earth rune
Item 558:	Mind rune
Item 559:	Body rune
Item 560:	Death rune
Item 561:	Nature rune
Item 562:	Chaos rune
Item 563:	Law rune
Item 564:	Cosmic rune
Item 565:	Blood rune
Item 566:	Soul rune
Item 567:	Unpowered orb
Item 568:	null
Item 569:	Fire orb
Item 570:	null
Item 571:	Water orb
Item 572:	null
Item 573:	Air orb
Item 574:	null
Item 575:	Earth orb
Item 576:	null
Item 577:	Wizard robe
Item 578:	null
Item 579:	Wizard hat
Item 580:	null
Item 581:	Black robe
Item 582:	null
Item 583:	Bailing bucket
Item 584:	null
Item 585:	Bailing bucket
Item 586:	null
Item 587:	Orb of protection
Item 588:	Orbs of protection
Item 589:	Gnome amulet
Item 590:	Tinderbox
Item 591:	null
Item 592:	Ashes
Item 593:	null
Item 594:	Lit torch
Item 595:	Torch
Item 596:	Unlit torch
Item 597:	null
Item 598:	Bronze fire arrows
Item 599:	Picture
Item 600:	Astronomy book
Item 601:	Goblin kitchen key
Item 602:	Lens mould
Item 603:	Observatory lens
Item 604:	Bone shard
Item 605:	Bone key
Item 606:	Stone-plaque
Item 607:	Tattered scroll
Item 608:	Crumpled scroll
Item 609:	Rashiliyia corpse
Item 610:	Zadimus corpse
Item 611:	Locating crystal
Item 612:	Locating crystal
Item 613:	Locating crystal
Item 614:	Locating crystal
Item 615:	Locating crystal
Item 616:	Beads of the dead
Item 617:	Coins
Item 618:	Bone beads
Item 619:	Paramaya ticket
Item 620:	Paramaya ticket
Item 621:	Ship ticket
Item 622:	Tinderbox
Item 623:	Sword pommel
Item 624:	Bervirius notes
Item 625:	Wampum belt
Item 626:	Pink boots
Item 627:	null
Item 628:	Green boots
Item 629:	null
Item 630:	Blue boots
Item 631:	null
Item 632:	Cream boots
Item 633:	null
Item 634:	Turquoise boots
Item 635:	null
Item 636:	Pink robe top
Item 637:	null
Item 638:	Green robe top
Item 639:	null
Item 640:	Blue robe top
Item 641:	null
Item 642:	Cream robe top
Item 643:	null
Item 644:	Turquoise robe top
Item 645:	null
Item 646:	Pink robe bottoms
Item 647:	null
Item 648:	Green robe bottoms
Item 649:	null
Item 650:	Blue robe bottoms
Item 651:	null
Item 652:	Cream robe bottoms
Item 653:	null
Item 654:	Turquoise robe bottoms
Item 655:	null
Item 656:	Pink hat
Item 657:	null
Item 658:	Green hat
Item 659:	null
Item 660:	Blue hat
Item 661:	null
Item 662:	Cream hat
Item 663:	null
Item 664:	Turquoise hat
Item 665:	null
Item 666:	Portrait
Item 667:	Blurite sword
Item 668:	Blurite ore
Item 669:	Specimen jar
Item 670:	Specimen brush
Item 671:	Animal skull
Item 672:	Special cup
Item 673:	Teddy
Item 674:	Cracked sample
Item 675:	Rock pick
Item 676:	Trowel
Item 677:	Panning tray
Item 678:	Panning tray
Item 679:	Panning tray
Item 680:	Nuggets
Item 681:	Ancient talisman
Item 682:	Unstamped letter
Item 683:	Sealed letter
Item 684:	Belt buckle
Item 685:	Old boot
Item 686:	Rusty sword
Item 687:	Broken arrow
Item 688:	Buttons
Item 689:	Broken staff
Item 690:	Picture
Item 691:	Level 1 certificate
Item 692:	Level 2 certificate
Item 693:	Level 3 certificate
Item 694:	Ceramic remains
Item 695:	Old tooth
Item 696:	Invitation letter
Item 697:	Damaged armour
Item 698:	Broken armour
Item 699:	Stone tablet
Item 700:	Chemical powder
Item 701:	Ammonium nitrate
Item 702:	Unidentified liquid
Item 703:	Nitroglycerin
Item 704:	Ground charcoal
Item 705:	Mixed chemicals
Item 706:	Mixed chemicals
Item 707:	Chemical compound
Item 708:	Arcenia root
Item 709:	Chest key
Item 710:	Vase
Item 711:	Book on chemicals
Item 712:	Cup of tea
Item 713:	Picture
Item 714:	Radimus notes
Item 715:	Radimus notes
Item 716:	Bull roarer
Item 717:	Scrawled note
Item 718:	A scribbled note
Item 719:	Scrumpled note
Item 720:	Sketch
Item 721:	Gold bowl
Item 722:	Blessed gold bowl
Item 723:	Golden bowl
Item 724:	Golden bowl
Item 725:	Golden bowl
Item 726:	Golden bowl
Item 727:	Hollow reed
Item 728:	Hollow reed
Item 729:	Shamans tome
Item 730:	Binding book
Item 731:	Enchanted vial
Item 732:	Holy water
Item 733:	Smashed glass
Item 734:	Tinderbox
Item 735:	Yommi tree seeds
Item 736:	Yommi tree seeds
Item 737:	Snakeweed mixture
Item 738:	Ardrigal mixture
Item 739:	Bravery potion
Item 740:	Blue hat
Item 741:	Chunk of crystal
Item 742:	Hunk of crystal
Item 743:	Lump of crystal
Item 744:	Heart crystal
Item 745:	Heart crystal
Item 746:	Dark dagger
Item 747:	Glowing dagger
Item 748:	Holy force
Item 749:	Yommi totem
Item 750:	Gilded totem
Item 751:	Gnomeball
Item 752:	null
Item 753:	Cadava berries
Item 754:	null
Item 755:	Message
Item 756:	Cadava potion
Item 757:	Book
Item 758:	Phoenix hq key
Item 759:	Weapon store key
Item 760:	null
Item 761:	Intel report
Item 762:	Picture
Item 763:	Broken shield
Item 764:	Picture
Item 765:	Broken shield
Item 766:	Picture
Item 767:	Phoenix crossbow
Item 768:	null
Item 769:	Certificate
Item 770:	Picture
Item 771:	Dramen branch
Item 772:	Dramen staff
Item 773:	'perfect' ring
Item 774:	'perfect' necklace
Item 775:	Cooking gauntlets
Item 776:	Goldsmith gauntlets
Item 777:	Chaos gauntlets
Item 778:	Family gauntlets
Item 779:	Crest part
Item 780:	Crest part
Item 781:	Crest part
Item 782:	Family crest
Item 783:	Bark sample
Item 784:	Translation book
Item 785:	Glough's journal
Item 786:	Hazelmere's scroll
Item 787:	Lumber order
Item 788:	Glough's key
Item 789:	Twigs
Item 790:	Twigs
Item 791:	Twigs
Item 792:	Twigs
Item 793:	Daconia rock
Item 794:	Invasion plans
Item 795:	War ship
Item 796:	Exploding vial
Item 797:	Herb bowl
Item 798:	Grinder
Item 799:	null
Item 800:	Bronze thrownaxe
Item 801:	Iron thrownaxe
Item 802:	Steel thrownaxe
Item 803:	Mithril thrownaxe
Item 804:	Adamant thrownaxe
Item 805:	Rune thrownaxe
Item 806:	Bronze dart
Item 807:	Iron dart
Item 808:	Steel dart
Item 809:	Mithril dart
Item 810:	Adamant dart
Item 811:	Rune dart
Item 812:	Bronze dart (p)
Item 813:	Iron dart (p)
Item 814:	Steel dart (p)
Item 815:	Mithril dart (p)
Item 816:	Adamant dart (p)
Item 817:	Rune dart (p)
Item 818:	Poisoned dart (p)
Item 819:	Bronze dart tip
Item 820:	Iron dart tip
Item 821:	Steel dart tip
Item 822:	Mithril dart tip
Item 823:	Adamant dart tip
Item 824:	Rune dart tip
Item 825:	Bronze javelin
Item 826:	Iron javelin
Item 827:	Steel javelin
Item 828:	Mithril javelin
Item 829:	Adamant javelin
Item 830:	Rune javelin
Item 831:	Bronze javelin (p)
Item 832:	Iron javelin (p)
Item 833:	Steel javelin (p)
Item 834:	Mithril javelin (p)
Item 835:	Adamant javelin (p)
Item 836:	Rune javelin (p)
Item 837:	Crossbow
Item 838:	null
Item 839:	Longbow
Item 840:	null
Item 841:	Shortbow
Item 842:	null
Item 843:	Oak shortbow
Item 844:	null
Item 845:	Oak longbow
Item 846:	null
Item 847:	Willow longbow
Item 848:	null
Item 849:	Willow shortbow
Item 850:	null
Item 851:	Maple longbow
Item 852:	null
Item 853:	Maple shortbow
Item 854:	null
Item 855:	Yew longbow
Item 856:	null
Item 857:	Yew shortbow
Item 858:	null
Item 859:	Magic longbow
Item 860:	null
Item 861:	Magic shortbow
Item 862:	null
Item 863:	Iron knife
Item 864:	Bronze knife
Item 865:	Steel knife
Item 866:	Mithril knife
Item 867:	Adamant knife
Item 868:	Rune knife
Item 869:	Black knife
Item 870:	Bronze knife (p)
Item 871:	Iron knife (p)
Item 872:	Steel knife (p)
Item 873:	Mithril knife (p)
Item 874:	Black knife (p)
Item 875:	Adamant knife (p)
Item 876:	Rune knife (p)
Item 877:	Bronze bolts
Item 878:	Bronze bolts (p)
Item 879:	Opal bolts
Item 880:	Pearl bolts
Item 881:	Barbed bolts
Item 882:	Bronze arrow
Item 883:	Bronze arrow (p)
Item 884:	Iron arrow
Item 885:	Iron arrow (p)
Item 886:	Steel arrow
Item 887:	Steel arrow (p)
Item 888:	Mithril arrow
Item 889:	Mithril arrow (p)
Item 890:	Adamant arrow
Item 891:	Adamant arrow (p)
Item 892:	Rune arrow
Item 893:	Rune arrow (p)
Item 894:	null
Item 895:	null
Item 896:	null
Item 897:	null
Item 898:	null
Item 899:	null
Item 900:	null
Item 901:	null
Item 902:	null
Item 903:	null
Item 904:	null
Item 905:	null
Item 906:	null
Item 907:	null
Item 908:	null
Item 909:	null
Item 910:	null
Item 911:	null
Item 912:	null
Item 913:	null
Item 914:	null
Item 915:	null
Item 916:	null
Item 917:	null
Item 918:	null
Item 919:	null
Item 920:	null
Item 921:	null
Item 922:	null
Item 923:	null
Item 924:	null
Item 925:	null
Item 926:	null
Item 927:	null
Item 928:	null
Item 929:	null
Item 930:	null
Item 931:	null
Item 932:	null
Item 933:	null
Item 934:	null
Item 935:	null
Item 936:	null
Item 937:	null
Item 938:	null
Item 939:	null
Item 940:	null
Item 941:	null
Item 942:	Bronze fire arrows
Item 943:	Worm
Item 944:	null
Item 945:	Throwing rope
Item 946:	Knife
Item 947:	null
Item 948:	Bear fur
Item 949:	null
Item 950:	Silk
Item 951:	null
Item 952:	Spade
Item 953:	null
Item 954:	Rope
Item 955:	null
Item 956:	Flier
Item 957:	Tinderbox
Item 958:	Grey wolf fur
Item 959:	null
Item 960:	Plank
Item 961:	null
Item 962:	Christmas cracker
Item 963:	null
Item 964:	Skull
Item 965:	Skull
Item 966:	Tile
Item 967:	Tinderbox
Item 968:	Rock
Item 969:	Tinderbox
Item 970:	Papyrus
Item 971:	null
Item 972:	Papyrus
Item 973:	Charcoal
Item 974:	null
Item 975:	Machete
Item 976:	null
Item 977:	Cooking pot
Item 978:	null
Item 979:	null
Item 980:	null
Item 981:	Disk of returning
Item 982:	null
Item 983:	Brass key
Item 984:	null
Item 985:	Tooth half of a key
Item 986:	null
Item 987:	Loop half of a key
Item 988:	null
Item 989:	Crystal key
Item 990:	null
Item 991:	Muddy key
Item 992:	null
Item 993:	Sinister key
Item 994:	null
Item 995:	Coins
Item 996:	null
Item 997:	null
Item 998:	null
Item 999:	null
Item 1000:	null
Item 1001:	null
Item 1002:	null
Item 1003:	null
Item 1004:	null
Item 1005:	White apron
Item 1006:	null
Item 1007:	Cape
Item 1008:	null
Item 1009:	Brass necklace
Item 1010:	null
Item 1011:	Blue skirt
Item 1012:	null
Item 1013:	Pink skirt
Item 1014:	null
Item 1015:	Black skirt
Item 1016:	null
Item 1017:	Wizard hat
Item 1018:	null
Item 1019:	Cape
Item 1020:	null
Item 1021:	Cape
Item 1022:	null
Item 1023:	Cape
Item 1024:	null
Item 1025:	Eye patch
Item 1026:	null
Item 1027:	Cape
Item 1028:	null
Item 1029:	Cape
Item 1030:	null
Item 1031:	Cape
Item 1032:	null
Item 1033:	Zamorak robe
Item 1034:	null
Item 1035:	Zamorak robe
Item 1036:	null
Item 1037:	Bunny ears
Item 1038:	Red partyhat
Item 1039:	null
Item 1040:	Yellow partyhat
Item 1041:	null
Item 1042:	Blue partyhat
Item 1043:	null
Item 1044:	Green partyhat
Item 1045:	null
Item 1046:	Purple partyhat
Item 1047:	null
Item 1048:	White partyhat
Item 1049:	null
Item 1050:	Santa hat
Item 1051:	null
Item 1052:	Cape of legends
Item 1053:	Green h'ween mask
Item 1054:	null
Item 1055:	Blue h'ween mask
Item 1056:	null
Item 1057:	Red h'ween mask
Item 1058:	null
Item 1059:	Leather gloves
Item 1060:	null
Item 1061:	Leather boots
Item 1062:	null
Item 1063:	Leather vambraces
Item 1064:	null
Item 1065:	Green d'hide vambraces
Item 1066:	null
Item 1067:	Iron platelegs
Item 1068:	null
Item 1069:	Steel platelegs
Item 1070:	null
Item 1071:	Mithril platelegs
Item 1072:	null
Item 1073:	Adamant platelegs
Item 1074:	null
Item 1075:	Bronze platelegs
Item 1076:	null
Item 1077:	Black platelegs
Item 1078:	null
Item 1079:	Rune platelegs
Item 1080:	null
Item 1081:	Iron plateskirt
Item 1082:	null
Item 1083:	Steel plateskirt
Item 1084:	null
Item 1085:	Mithril plateskirt
Item 1086:	null
Item 1087:	Bronze plateskirt
Item 1088:	null
Item 1089:	Black plateskirt
Item 1090:	null
Item 1091:	Adamant plateskirt
Item 1092:	null
Item 1093:	Rune plateskirt
Item 1094:	null
Item 1095:	Leather chaps
Item 1096:	null
Item 1097:	Studded chaps
Item 1098:	null
Item 1099:	Green d'hide chaps
Item 1100:	null
Item 1101:	Iron chainbody
Item 1102:	null
Item 1103:	Bronze chainbody
Item 1104:	null
Item 1105:	Steel chainbody
Item 1106:	null
Item 1107:	Black chainbody
Item 1108:	null
Item 1109:	Mithril chainbody
Item 1110:	null
Item 1111:	Adamant chainbody
Item 1112:	null
Item 1113:	Rune chainbody
Item 1114:	null
Item 1115:	Iron platebody
Item 1116:	null
Item 1117:	Bronze platebody
Item 1118:	null
Item 1119:	Steel platebody
Item 1120:	null
Item 1121:	Mithril platebody
Item 1122:	null
Item 1123:	Adamant platebody
Item 1124:	null
Item 1125:	Black platebody
Item 1126:	null
Item 1127:	Rune platebody
Item 1128:	null
Item 1129:	Leather body
Item 1130:	null
Item 1131:	Hardleather body
Item 1132:	null
Item 1133:	Studded body
Item 1134:	null
Item 1135:	Green d'hide body
Item 1136:	null
Item 1137:	Iron med helm
Item 1138:	null
Item 1139:	Bronze med helm
Item 1140:	null
Item 1141:	Steel med helm
Item 1142:	null
Item 1143:	Mithril med helm
Item 1144:	null
Item 1145:	Adamant med helm
Item 1146:	null
Item 1147:	Rune med helm
Item 1148:	null
Item 1149:	Dragon med helm
Item 1150:	null
Item 1151:	Black med helm
Item 1152:	null
Item 1153:	Iron full helm
Item 1154:	null
Item 1155:	Bronze full helm
Item 1156:	null
Item 1157:	Steel full helm
Item 1158:	null
Item 1159:	Mithril full helm
Item 1160:	null
Item 1161:	Adamant full helm
Item 1162:	null
Item 1163:	Rune full helm
Item 1164:	null
Item 1165:	Black full helm
Item 1166:	null
Item 1167:	Leather cowl
Item 1168:	null
Item 1169:	Coif
Item 1170:	null
Item 1171:	Wooden shield
Item 1172:	null
Item 1173:	Bronze sq shield
Item 1174:	null
Item 1175:	Iron sq shield
Item 1176:	null
Item 1177:	Steel sq shield
Item 1178:	null
Item 1179:	Black sq shield
Item 1180:	null
Item 1181:	Mithril sq shield
Item 1182:	null
Item 1183:	Adamant sq shield
Item 1184:	null
Item 1185:	Rune sq shield
Item 1186:	null
Item 1187:	Dragon sq shield
Item 1188:	null
Item 1189:	Bronze kiteshield
Item 1190:	null
Item 1191:	Iron kiteshield
Item 1192:	null
Item 1193:	Steel kiteshield
Item 1194:	null
Item 1195:	Black kiteshield
Item 1196:	null
Item 1197:	Mithril kiteshield
Item 1198:	null
Item 1199:	Adamant kiteshield
Item 1200:	null
Item 1201:	Rune kiteshield
Item 1202:	null
Item 1203:	Iron dagger
Item 1204:	null
Item 1205:	Bronze dagger
Item 1206:	null
